"LOC_NO","LOC_NAME","ENABLED","ADDR1","CITY","STATE","ZIP","COUNTRY","DOMAIN","TIMEZONE"
"10501548","Avenida Barbera BARCELONA RACC","TRUE","AV AVENIDA BARBERA 56-58","SABADELL","BARCELONA","08203","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501553","Rambla Ribatalla BARCELONA RACC","TRUE","RB RAMBLA RIBATALLADA 20","SANT CUGAT DEL VALLES","BARCELONA","08172","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501554","Rambla San Sebastian BARCELONA RACC","TRUE","RB RAMBLA SAN SEBASTIAN 47","SANTA COLOMA DE GRAMENET","BARCELONA","08921","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501558","Puig Novell BARCELONA RACC","TRUE","CL CALLE PUIG NOVELL 1","TERRASSA","BARCELONA","08221","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501565","Doctor Junyent BARCELONA RACC","TRUE","CL CALLE DOCTOR JUNYENT 10","VIC","BARCELONA","08500","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501500","Juan Florez A CORUÑA RACC","TRUE","CL CALLE JUAN FLOREZ 17","LA CORUÑA","CORUÑA","15000","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501527","Carretera Barcelona GIRONA RACC","TRUE","CT CUESTA BARCELONA 22","GIRONA","GERONA","17002","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501541","Pare Roca GIRONA RACC","TRUE","CL CALLE PARE ROCA 9","OLOT","GERONA","17800","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501534","RACC TRAVEL LLEIDA","TRUE","AV AVENIDA DEL SEGRE 6","LLEIDA","LERIDA","25006","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501535","Paseo Castellana MADRID RACC","TRUE","PS PASEO CASTELLANA 52","MADRID","MADRID","28046","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501501","Avenida de la Costa ASTURIAS RACC","TRUE","AV AVENIDA DE LA COSTA 25","GIJON","OVIEDO","33205","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501502","Gran Via PONTEVEDRA RACC","TRUE","CL CALLE GRAN VIA 39","PONTEVEDRA","PONTEVEDRA","36200","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501555","Plaza Colón SALAMANCA RACC","TRUE","PZ PLAZA COLON 16","SALAMANCA","SALAMANCA","37274","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501551","Imagen SEVILLA RACC","TRUE","CL CALLE IMAGEN 5","SEVILLA","SEVILLA","41000","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501546","Sant Joan TARRAGONA RACC","TRUE","CL CALLE SANT JOAN 15A","REUS","TARRAGONA","43201","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501549","República Argentina TORTOSA RACC","TRUE","AV AVENIDA REPUBLICA ARGENTINA 5","TORTOSA","TARRAGONA","43500","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501556","Rambla Nova TARRAGONA RACC","TRUE","RB RAMBLA NOVA 48","TARRAGONA","TARRAGONA","43004","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501562","Valencia","TRUE","CL CALLE PASCUAL Y GENIS 10","ADOR","VALENCIA","46002","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501518","Hurtado Amezaga BILBAO RACC","TRUE","CL CALLE HURTADO AMEZAGA 3","BILBAO","VIZCAYA","48008","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501557","Las Arenas BILBAO RACC","TRUE","CL CALLE NAGUSIA 1","BILBAO","VIZCAYA","48930","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501550","Pedro Maria Ric ZARAGOZA RACC","TRUE","CL CALLE PEDRO MARIA RIC 17","ZARAGOZA","ZARAGOZA","50000","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
